,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
0,Milwaukee Bucks,69,55,14,0.797,48.1,118.7,43.4,90.9,47.8,13.7,38.8,35.4,18.1,24.3,74.5,9.5,42.3,51.8,25.9,15.1,7.3,6.0,4.5,19.4,21.6,10.8
1,Los Angeles Lakers,68,51,17,0.75,48.1,113.2,42.2,88.1,47.9,10.9,31.5,34.6,17.8,24.4,73.0,10.5,35.5,45.9,25.4,15.2,8.6,6.7,3.8,20.9,21.9,6.3
2,Toronto Raptors,67,49,18,0.731,48.3,112.7,40.3,88.0,45.8,13.8,36.8,37.4,18.4,23.0,80.3,9.4,35.8,45.2,25.3,14.6,8.7,4.9,5.4,21.6,20.2,6.6
3,LA Clippers,68,46,22,0.676,48.2,116.2,41.5,89.4,46.5,12.4,33.3,37.1,20.8,26.2,79.2,10.7,37.0,47.7,23.7,14.6,7.0,4.9,4.7,22.1,22.8,6.6
4,Boston Celtics,68,45,23,0.662,48.4,113.6,41.2,89.4,46.1,12.5,34.3,36.6,18.7,23.4,80.1,10.6,35.2,45.8,22.7,13.7,8.3,5.6,5.5,21.6,20.7,6.2
5,Denver Nuggets,69,45,24,0.652,48.5,110.9,41.9,88.8,47.2,10.9,30.4,35.7,16.1,20.7,77.6,10.8,33.4,44.2,26.6,13.8,8.1,4.6,4.5,20.4,20.2,2.6
6,Houston Rockets,68,43,25,0.632,48.3,118.4,41.0,90.7,45.2,15.7,44.9,34.9,20.6,26.2,78.7,10.1,34.4,44.5,21.7,14.5,8.6,5.1,4.9,21.9,21.0,3.8
7,Oklahoma City Thunder,67,42,25,0.627,48.4,110.7,40.1,84.9,47.3,10.4,29.3,35.4,20.0,25.1,79.8,8.1,34.8,42.9,21.7,13.6,7.6,5.0,4.1,19.1,22.9,2.7
8,Miami Heat,69,43,26,0.623,48.7,112.3,39.4,84.1,46.9,13.5,35.2,38.3,19.9,25.4,78.3,8.5,35.8,44.3,26.0,14.9,7.4,4.4,4.2,20.6,21.7,3.2
9,Utah Jazz,69,43,26,0.623,48.1,110.9,39.9,84.7,47.1,13.1,34.6,37.9,17.9,23.0,77.9,9.0,36.0,44.9,22.1,15.1,6.1,4.0,4.5,20.2,20.8,2.6
10,Indiana Pacers,69,42,27,0.609,48.3,109.6,42.2,88.4,47.8,10.0,27.7,36.2,15.1,19.1,78.9,8.7,33.8,42.5,25.9,13.0,7.2,5.2,4.5,19.6,18.9,2.0
11,Philadelphia 76ers,68,41,27,0.603,48.2,110.0,40.9,87.7,46.6,11.4,31.4,36.3,16.8,22.3,75.4,10.4,35.0,45.4,25.8,14.3,8.1,5.4,3.9,20.9,20.5,2.2
12,Dallas Mavericks,71,41,30,0.577,48.4,116.7,41.5,90.2,46.0,15.2,41.5,36.6,18.5,23.9,77.4,10.7,36.5,47.2,24.5,12.8,6.2,4.9,4.1,19.3,21.3,5.5
13,Brooklyn Nets,68,32,36,0.471,48.6,111.2,40.1,90.3,44.4,12.9,38.0,33.9,18.0,24.1,74.7,10.8,37.3,48.0,24.2,15.3,6.4,4.5,5.4,20.9,21.0,-1.1
14,Memphis Grizzlies,69,32,37,0.464,48.1,112.7,42.7,91.0,46.9,10.9,31.3,34.8,16.5,21.6,76.2,10.3,36.1,46.3,26.9,15.1,7.9,5.6,5.3,21.3,20.0,-1.4
15,Orlando Magic,69,32,37,0.464,48.1,107.0,39.3,88.6,44.4,11.0,32.2,34.3,17.3,22.4,77.2,10.3,34.2,44.5,24.2,12.8,8.3,5.6,4.6,18.0,19.4,-0.8
16,Portland Trail Blazers,70,32,38,0.457,48.2,114.3,42.0,90.9,46.2,12.8,33.9,37.8,17.5,21.9,79.9,10.2,35.3,45.4,20.6,13.0,6.2,6.2,5.0,21.6,20.0,-1.2
17,San Antonio Spurs,68,30,38,0.441,48.5,113.8,42.2,89.5,47.1,10.7,28.5,37.4,18.8,23.2,80.9,8.9,35.4,44.4,24.7,12.4,7.2,5.5,4.3,19.3,19.9,-1.5
18,Phoenix Suns,69,30,39,0.435,48.2,112.9,40.9,88.0,46.5,11.2,31.8,35.4,19.8,23.9,83.0,9.7,33.5,43.2,27.1,15.0,7.7,3.9,5.5,22.2,22.8,-0.8
19,New Orleans Pelicans,68,29,39,0.426,48.4,115.8,42.5,91.8,46.3,13.8,37.3,37.1,17.0,23.4,72.4,11.1,35.7,46.8,26.9,16.3,7.5,4.9,4.9,21.2,20.9,-1.2
20,Sacramento Kings,68,29,39,0.426,48.5,109.7,40.7,88.3,46.1,12.6,34.7,36.4,15.7,20.4,76.8,9.6,32.8,42.5,23.5,14.3,7.8,4.1,4.3,22.2,19.5,-2.0
21,Charlotte Hornets,65,23,42,0.354,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11.0,31.8,42.8,23.8,14.6,6.6,4.1,5.0,18.8,20.6,-6.8
22,Washington Wizards,68,24,44,0.353,48.2,115.0,41.8,90.9,46.0,12.1,32.7,37.1,19.3,24.6,78.6,10.0,31.8,41.8,25.2,14.1,8.0,4.3,5.1,22.8,22.3,-4.4
23,Chicago Bulls,65,22,43,0.338,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10.0,4.1,5.9,21.8,19.2,-3.1
24,New York Knicks,66,21,45,0.318,48.4,105.8,40.0,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12.0,34.5,46.5,22.1,14.3,7.6,4.7,5.0,22.2,19.8,-6.5
25,Detroit Pistons,66,20,46,0.303,48.4,107.2,39.3,85.7,45.9,12.0,32.7,36.7,16.6,22.4,74.3,9.8,32.0,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,-3.6
26,Atlanta Hawks,67,20,47,0.299,48.6,111.8,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,9.9,33.4,43.3,24.0,16.2,7.8,5.1,6.4,23.1,21.0,-8.0
27,Minnesota Timberwolves,64,19,45,0.297,48.6,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,-4.3
28,Cleveland Cavaliers,65,19,46,0.292,48.4,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,-7.9
29,Golden State Warriors,65,15,50,0.231,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7
